orth,freq,log_freq
cure,28,3.401197382
curl,2,1.386294361
curse,11,2.564949357
curt,32,3.526360525
curve,45,3.850147602
cusp,2,1.386294361
cut,192,5.267858159
cute,5,1.945910149
cycle,24,3.258096538
czar,1,1.098612289
d,90,4.521788577
dad,15,2.833213344
dade,2,1.386294361
dag,7,2.197224577
dak,1,1.098612289
dale,5,1.945910149
dam,5,1.945910149
dame,7,2.197224577
damn,34,3.583518938
damp,16,2.890371758
dan,27,3.36729583
dance,90,4.521788577
dane,2,1.386294361
dang,1,1.098612289
dangle,1,1.098612289
dank,1,1.098612289
dante,2,1.386294361
daphne,1,1.098612289
dare,21,3.135494216
dark,185,5.231108617
darn,3,1.609437912
das,2,1.386294361
dash,11,2.564949357
date,103,4.65396035
daunt,1,1.098612289
dawn,28,3.401197382
day,686,6.533788838
dazzle,1,1.098612289
de,122,4.820281566
dead,174,5.170483995
deaf,12,2.63905733
deal,142,4.9698133
dealt,22,3.17805383
dean,40,3.737669618
dear,54,4.025351691
dearth,3,1.609437912
death,277,5.631211782
debt,13,2.708050201
#VALUE!,43816,10.68779997
deck,23,3.218875825
deed,8,2.302585093
deem,1,1.098612289
deep,109,4.709530201
deer,13,2.708050201
deft,2,1.386294361
del,12,2.63905733
dell,5,1.945910149
den,2,1.386294361
dense,9,2.397895273
dent,2,1.386294361
depth,53,4.007333185
dere,1,1.098612289
desk,65,4.204692619
dew,3,1.609437912
dey,2,1.386294361
dial,1,1.098612289
dice,14,2.772588722
dick,18,2.995732274
did,1044,6.952728645
die,73,4.317488114
dies,12,2.63905733
dig,10,2.48490665
digs,1,1.098612289
dill,12,2.63905733
dim,19,3.044522438
dime,4,1.791759469
din,1,1.098612289
dine,2,1.386294361
dip,6,2.079441542
dire,1,1.098612289
dirge,2,1.386294361
dirt,43,3.80666249
disc,6,2.079441542
dish,16,2.890371758
disk,25,3.295836866
ditch,10,2.48490665
dive,23,3.218875825
do,1363,7.218909708
dock,8,2.302585093
dodge,11,2.564949357
doe,1,1.098612289
does,485,6.188264123
dog,75,4.343805422
doing,163,5.105945474
dole,1,1.098612289
doll,10,2.48490665
dome,17,2.944438979
don,23,3.218875825
don't,489,6.196444128
done,320,5.774551546
doo,2,1.386294361
doom,3,1.609437912
door,312,5.749392986
dope,2,1.386294361
dorr,3,1.609437912
dose,11,2.564949357
dost,1,1.098612289
dot,13,2.708050201
double,56,4.060443011
doubt,114,4.753590191
douce,1,1.098612289
dough,13,2.708050201
dour,2,1.386294361
dove,4,1.791759469
dow,4,1.791759469
down,895,6.799055862
drab,5,1.945910149
draft,24,3.258096538
drag,15,2.833213344
drain,18,2.995732274
drake,2,1.386294361
dram,1,1.098612289
drank,19,3.044522438
draught,1,1.098612289
draw,56,4.060443011
drawl,2,1.386294361
drawn,70,4.276666119
dread,9,2.397895273
dream,64,4.189654742
dress,67,4.234106505
drew,68,4.248495242
dried,28,3.401197382
drier,3,1.609437912
drift,18,2.995732274
drill,33,3.555348061
drink,82,4.430816799
drip,1,1.098612289
drive,105,4.672828834
drone,3,1.609437912
droop,1,1.098612289
drop,59,4.110873864
dross,4,1.791759469
drought,5,1.945910149
drouth,1,1.098612289
drove,62,4.158883083
drown,3,1.609437912
drug,24,3.258096538
druid,1,1.098612289
drum,11,2.564949357
drunk,37,3.663561646
dry,68,4.248495242
dryer,4,1.791759469
drying,29,3.433987204
dual,9,2.397895273
duck,9,2.397895273
duct,1,1.098612289
dud,1,1.098612289
due,142,4.9698133
duet,1,1.098612289
dug,15,2.833213344
duke,11,2.564949357
dull,27,3.36729583
dumb,13,2.708050201
dump,4,1.791759469
dumps,1,1.098612289
dun,1,1.098612289
dune,1,1.098612289
dung,2,1.386294361
dusk,9,2.397895273
dust,70,4.276666119
dutch,15,2.833213344
dwarf,3,1.609437912
dwell,8,2.302585093
dwindle,2,1.386294361
dyeing,1,1.098612289
dying,34,3.583518938
dyke,1,1.098612289
e,101,4.634728988
each,877,6.778784898
ear,29,3.433987204
earl,12,2.63905733
earn,16,2.890371758
earth,150,5.023880521
ease,42,3.784189634
east,183,5.220355825
eat,61,4.143134726
eave,1,1.098612289
ebb,1,1.098612289
edge,78,4.382026635
eel,2,1.386294361
egg,12,2.63905733
eh,8,2.302585093
eight,104,4.663439094
eighth,23,3.218875825
elk,1,1.098612289
ell,1,1.098612289
elm,3,1.609437912
else,176,5.18178355
em,44,3.828641396
en,7,2.197224577
end,410,6.021023349
ere,1,1.098612289
err,1,1.098612289
est,3,1.609437912
eve,19,3.044522438
ewe,1,1.098612289
ex,2,1.386294361
eye,122,4.820281566
eyed,7,2.197224577
f,70,4.276666119
fable,2,1.386294361
face,371,5.92157842
fact,447,6.107022888
fad,2,1.386294361
fade,2,1.386294361
fail,37,3.663561646
fain,1,1.098612289
faint,25,3.295836866
fair,77,4.369447852
faith,111,4.727387819
fake,10,2.48490665
fall,147,5.003946306
false,29,3.433987204
fame,18,2.995732274
fan,18,2.995732274
far,427,6.061456919
farce,3,1.609437912
fare,7,2.197224577
farm,125,4.844187086
fast,78,4.382026635
fat,60,4.127134385
fate,33,3.555348061
fault,22,3.17805383
fawn,1,1.098612289
fay,1,1.098612289
faze,1,1.098612289
fe,7,2.197224577
fear,127,4.859812404
feast,3,1.609437912
feat,6,2.079441542
fed,42,3.784189634
fee,16,2.890371758
feeble,8,2.302585093
feed,123,4.828313737
feel,216,5.384495063
feet,283,5.65248918
feint,2,1.386294361
fell,92,4.543294782
felt,357,5.883322388
fence,30,3.465735903
fer,2,1.386294361
fern,1,1.098612289
fetch,6,2.079441542
fete,3,1.609437912
feud,1,1.098612289
few,601,6.401917197
fiance,1,1.098612289
fiat,13,2.708050201
field,274,5.620400866
fiend,3,1.609437912
fierce,8,2.302585093
fife,1,1.098612289
fifth,38,3.688879454
fig,72,4.304065093
fight,98,4.605170186
fike,2,1.386294361
file,81,4.418840608
fill,50,3.951243719
film,96,4.584967479
filth,2,1.386294361
fin,2,1.386294361
find,399,5.993961427
fine,161,5.093750201
finn,1,1.098612289
fir,2,1.386294361
firm,109,4.709530201
first,1360,7.216709487
fish,35,3.610917913
fisk,2,1.386294361
fist,26,3.33220451
fit,75,4.343805422
fitch,1,1.098612289
five,286,5.66296048
fix,14,2.772588722
flag,16,2.890371758
flail,1,1.098612289
flair,8,2.302585093
flake,1,1.098612289
flame,17,2.944438979
flange,2,1.386294361
flank,2,1.386294361
flare,3,1.609437912
flash,21,3.135494216
flask,5,1.945910149
flat,67,4.234106505
flaw,3,1.609437912
flax,3,1.609437912
flea,2,1.386294361
fleck,1,1.098612289
fled,28,3.401197382
flee,1,1.098612289
fleet,17,2.944438979
flesh,52,3.988984047
flew,27,3.36729583
flex,2,1.386294361
flick,2,1.386294361
flight,46,3.871201011
fling,2,1.386294361
flint,4,1.791759469
flip,4,1.791759469
flirt,1,1.098612289
float,3,1.609437912
flock,10,2.48490665
floe,1,1.098612289
flog,1,1.098612289
flood,19,3.044522438
floor,158,5.075173815
flop,1,1.098612289
flow,67,4.234106505
flown,4,1.791759469
flu,8,2.302585093
fluent,5,1.945910149
fluff,1,1.098612289
fluke,1,1.098612289
flung,14,2.772588722
flush,11,2.564949357
flute,1,1.098612289
flux,30,3.465735903
fly,33,3.555348061
flyer,4,1.791759469
flying,43,3.80666249
foal,2,1.386294361
foam,37,3.663561646
foe,8,2.302585093
fog,25,3.295836866
foh,1,1.098612289
foil,20,3.091042453
fold,7,2.197224577
folk,34,3.583518938
fond,13,2.708050201
food,147,5.003946306
fool,37,3.663561646
foot,70,4.276666119
for,9489,9.15809926
force,230,5.446737372
ford,24,3.258096538
fore,7,2.197224577
forge,10,2.48490665
fork,14,2.772588722
form,370,5.918893854
fort,55,4.043051268
forte,6,2.079441542
forth,71,4.290459441
fought,46,3.871201011
foul,4,1.791759469
found,536,6.28785856
four,359,5.888877958
fourth,74,4.33073334
fowl,1,1.098612289
fox,13,2.708050201
foy,2,1.386294361
frail,8,2.302585093
frame,74,4.33073334
franc,1,1.098612289
frank,68,4.248495242
frau,1,1.098612289
fraud,8,2.302585093
fray,1,1.098612289
freak,4,1.791759469
free,260,5.568344504
freeze,6,2.079441542
freight,28,3.401197382
french,139,4.94875989
fresh,82,4.430816799
fret,1,1.098612289
friar,1,1.098612289
fried,6,2.079441542
friend,133,4.905274778
frieze,13,2.708050201
fright,2,1.386294361
fringe,16,2.890371758
frist,1,1.098612289
frock,2,1.386294361
frog,1,1.098612289
from,4369,8.382747095
front,221,5.407171771
frost,6,2.079441542
froth,1,1.098612289
frown,1,1.098612289
froze,5,1.945910149
fruit,35,3.610917913
fry,2,1.386294361
fuel,17,2.944438979
full,230,5.446737372
fumble,1,1.098612289
fun,44,3.828641396
fund,62,4.158883083
funk,4,1.791759469
fur,13,2.708050201
fuse,5,1.945910149
fuss,4,1.791759469
fuzz,3,1.609437912
fy,1,1.098612289
g,50,3.951243719
gab,1,1.098612289
gable,2,1.386294361
gag,4,1.791759469
gage,4,1.791759469
gaggle,1,1.098612289
gain,74,4.33073334
gait,8,2.302585093
gale,2,1.386294361
gall,7,2.197224577
galt,2,1.386294361
game,123,4.828313737
gang,22,3.17805383
gap,17,2.944438979
garb,3,1.609437912
garth,14,2.772588722
gas,98,4.605170186
gash,1,1.098612289
gasp,3,1.609437912
gate,37,3.663561646
gauche,1,1.098612289
gauge,12,2.63905733
gaul,1,1.098612289
gaunt,6,2.079441542
gauss,2,1.386294361
gauze,1,1.098612289
gave,285,5.659482216
gay,30,3.465735903
gaze,12,2.63905733
gear,26,3.33220451
gee,4,1.791759469
geese,3,1.609437912
gel,2,1.386294361
gem,4,1.791759469
gen,23,3.218875825
gene,9,2.397895273
genre,2,1.386294361
gentle,27,3.36729583
george,129,4.875197323
germ,3,1.609437912
get,750,6.622736324
ghost,11,2.564949357
ghoul,1,1.098612289
giant,23,3.218875825
giaour,1,1.098612289
gibe,1,1.098612289
gift,33,3.555348061
gig,1,1.098612289
gild,1,1.098612289
gill,2,1.386294361
gilt,3,1.609437912
gin,23,3.218875825
gird,1,1.098612289
girl,220,5.402677382
girth,1,1.098612289
gist,1,1.098612289
git,4,1.791759469
give,391,5.973809612
glad,38,3.688879454
glance,40,3.737669618
gland,9,2.397895273
glare,7,2.197224577
glass,99,4.615120517
glaze,11,2.564949357
gleam,4,1.791759469
glean,1,1.098612289
glee,3,1.609437912
glen,7,2.197224577
glib,1,1.098612289
glide,2,1.386294361
glimpse,16,2.890371758
glint,2,1.386294361
globe,13,2.708050201
gloom,14,2.772588722
gloss,1,1.098612289
glove,9,2.397895273
glow,16,2.890371758
glue,8,2.302585093
glum,1,1.098612289
gnaw,1,1.098612289
gnome,1,1.098612289
go,626,6.442540166
goa,1,1.098612289
goad,1,1.098612289
goal,60,4.127134385
goat,6,2.079441542
gob,1,1.098612289
god,318,5.768320996
gog,1,1.098612289
going,399,5.993961427
gold,52,3.988984047
golf,34,3.583518938
gone,195,5.283203729
good,807,6.695798917
goods,57,4.077537444
goose,4,1.791759469
gore,7,2.197224577
gorge,1,1.098612289
gosh,4,1.791759469
got,482,6.182084907
gouge,1,1.098612289
gourd,2,1.386294361
gout,2,1.386294361
goutte,1,1.098612289
gown,16,2.890371758
grab,16,2.890371758
grace,40,3.737669618
grade,35,3.610917913
graff,1,1.098612289
graft,1,1.098612289
grail,2,1.386294361
grain,27,3.36729583
gram,10,2.48490665
grand,48,3.912023005
grant,47,3.891820298
grape,3,1.609437912
graph,17,2.944438979
grapple,1,1.098612289
grasp,17,2.944438979
grass,53,4.007333185
grate,3,1.609437912
graunt,1,1.098612289
grave,33,3.555348061
gray,80,4.406719247
graze,1,1.098612289
grease,9,2.397895273
great,665,6.502790046
greed,3,1.609437912
greek,61,4.143134726
green,116,4.770684624
greet,7,2.197224577
gret,1,1.098612289
grew,64,4.189654742
grey,12,2.63905733
grief,10,2.48490665
grill,12,2.63905733
grille,3,1.609437912
grim,14,2.772588722
grimm,2,1.386294361
grin,13,2.708050201
grind,2,1.386294361
grip,20,3.091042453
gripes,1,1.098612289
gris,1,1.098612289
grist,2,1.386294361
grit,1,1.098612289
groan,1,1.098612289
groat,1,1.098612289
groin,4,1.791759469
groom,5,1.945910149
groove,2,1.386294361
grope,1,1.098612289
gross,66,4.219507705
ground,186,5.236441963
group,390,5.97126184
grove,14,2.772588722
grow,63,4.17438727
growl,4,1.791759469
grown,43,3.80666249
growth,155,5.056245805
grub,2,1.386294361
grudge,7,2.197224577
gruff,4,1.791759469
grumble,7,2.197224577
grunt,2,1.386294361
guard,48,3.912023005
guess,56,4.060443011
guest,39,3.713572067
guide,36,3.63758616
guild,7,2.197224577
guile,1,1.098612289
